,股號,股名,產業別
206,2009,第一銅,鋼鐵工業
207,2010,春源,鋼鐵工業
208,2012,春雨,鋼鐵工業
209,2013,中鋼構,鋼鐵工業
210,2014,中鴻,鋼鐵工業
211,2015,豐興,鋼鐵工業
212,2017,官田鋼,鋼鐵工業
213,2020,美亞,鋼鐵工業
214,2022,聚亨,鋼鐵工業
215,2023,燁輝,鋼鐵工業
216,2024,志聯,鋼鐵工業
217,2025,千興,鋼鐵工業
218,2027,大成鋼,鋼鐵工業
219,2028,威致,鋼鐵工業
220,2029,盛餘,鋼鐵工業
221,2030,彰源,鋼鐵工業
222,2031,新光鋼,鋼鐵工業
223,2032,新鋼,鋼鐵工業
224,2033,佳大,鋼鐵工業
225,2034,允強,鋼鐵工業
226,2038,海光,鋼鐵工業
227,2049,上銀,電機機械
228,2059,川湖,電子零組件業
229,2062,橋椿,居家生活
230,2069,運錩,鋼鐵工業
231,2101,南港,橡膠工業
232,2102,泰豐,橡膠工業
233,2103,台橡,橡膠工業
234,2104,國際中橡,橡膠工業
235,2105,正新,橡膠工業
236,2106,建大,橡膠工業
237,2107,厚生,橡膠工業
238,2108,南帝,橡膠工業
239,2109,華豐,橡膠工業
240,2114,鑫永銓,橡膠工業
241,2115,六暉-KY,汽車工業
242,2201,裕隆,汽車工業
243,2204,中華,汽車工業
244,2206,三陽工業,汽車工業
245,2207,和泰車,汽車工業
246,2208,台船,航運業
247,2211,長榮鋼,鋼鐵工業
248,2227,裕日車,汽車工業
249,2228,劍麟,汽車工業
250,2231,為升,汽車工業
251,2233,宇隆,汽車工業
252,2236,百達-KY,汽車工業
253,2239,英利-KY,汽車工業
254,2241,艾姆勒,汽車工業
255,2243,宏旭-KY,汽車工業
256,2247,汎德永業,汽車工業
257,2250,IKKA-KY,汽車工業
258,2301,光寶科,電腦及週邊設備業
259,2302,麗正,半導體業
260,2303,聯電,半導體業
261,2305,全友,電腦及週邊設備業
262,2308,台達電,電子零組件業
263,2312,金寶,其他電子業
264,2313,華通,電子零組件業
265,2314,台揚,通信網路業
266,2316,楠梓電,電子零組件業
267,2317,鴻海,其他電子業
268,2321,東訊,通信網路業
269,2323,中環,光電業
270,2324,仁寶,電腦及週邊設備業
271,2327,國巨,電子零組件業
272,2328,廣宇,電子零組件業
273,2329,華泰,半導體業
274,2330,台積電,半導體業
275,2331,精英,電腦及週邊設備業
276,2332,友訊,通信網路業
277,2337,旺宏,半導體業
278,2338,光罩,半導體業
279,2340,台亞,半導體業
280,2342,茂矽,半導體業
281,2344,華邦電,半導體業
282,2345,智邦,通信網路業
283,2347,聯強,電子通路業
284,2348,海悅,其他業
285,2349,錸德,光電業
286,2351,順德,半導體業
287,2352,佳世達,電腦及週邊設備業
288,2353,宏碁,電腦及週邊設備業
289,2354,鴻準,其他電子業
290,2355,敬鵬,電子零組件業
291,2356,英業達,電腦及週邊設備業
292,2357,華碩,電腦及週邊設備業
293,2358,廷鑫,其他業
294,2359,所羅門,其他電子業
295,2360,致茂,其他電子業
296,2362,藍天,電腦及週邊設備業
297,2363,矽統,半導體業
298,2364,倫飛,電腦及週邊設備業
299,2365,昆盈,電腦及週邊設備業
300,2367,燿華,電子零組件業
301,2368,金像電,電子零組件業
302,2369,菱生,半導體業
303,2371,大同,電機機械
304,2373,震旦行,其他電子業
305,2374,佳能,光電業
306,2375,凱美,電子零組件業
307,2376,技嘉,電腦及週邊設備業
308,2377,微星,電腦及週邊設備業
309,2379,瑞昱,半導體業
310,2380,虹光,電腦及週邊設備業
311,2382,廣達,電腦及週邊設備業
312,2383,台光電,電子零組件業
313,2385,群光,電子零組件業
314,2387,精元,電腦及週邊設備業
315,2388,威盛,半導體業
316,2390,云辰,其他電子業
317,2392,正崴,電子零組件業
318,2393,億光,光電業
319,2395,研華,電腦及週邊設備業
320,2397,友通,電腦及週邊設備業
321,2399,映泰,電腦及週邊設備業
322,2401,凌陽,半導體業
323,2402,毅嘉,電子零組件業
324,2404,漢唐,其他電子業
