,股號,股名,產業別
873,6789,采鈺,半導體業
874,6790,永豐實,造紙工業
875,6792,詠業,通信網路業
876,6796,晉弘,生技醫療業
877,6799,來頡,半導體業
878,6806,森崴能源,綠能環保
879,6807,峰源-KY,居家生活
880,6830,汎銓,其他電子業
881,6834,天二科技,電子零組件業
882,6835,圓裕,電子零組件業
883,6861,睿生光電,生技醫療業
884,6863,永道-KY,通信網路業
885,6901,鑽石投資,其他業
886,8011,台通,通信網路業
887,8016,矽創,半導體業
888,8021,尖點,其他電子業
889,8028,昇陽半導體,半導體業
890,8033,雷虎,其他業
891,8039,台虹,電子零組件業
892,8046,南電,電子零組件業
893,8070,長華*,電子通路業
894,8072,陞泰,電子通路業
895,8081,致新,半導體業
896,8101,華冠,通信網路業
897,8103,瀚荃,電子零組件業
898,8104,錸寶,光電業
899,8105,凌巨,光電業
900,8110,華東,半導體業
901,8112,至上,電子通路業
902,8114,振樺電,電腦及週邊設備業
903,8131,福懋科,半導體業
904,8150,南茂,半導體業
905,8163,達方,電腦及週邊設備業
906,8201,無敵,其他電子業
907,8210,勤誠,電腦及週邊設備業
908,8213,志超,電子零組件業
909,8215,明基材,光電業
910,8222,寶一,電機機械
911,8249,菱光,電子零組件業
912,8261,富鼎,半導體業
913,8271,宇瞻,半導體業
914,8341,日友,綠能環保
915,8367,建新國際,航運業
916,8374,羅昇,電機機械
917,8404,百和興業-KY,其他業
918,8411,福貞-KY,其他業
919,8422,可寧衛,綠能環保
920,8429,金麗-KY,貿易百貨業
921,8438,昶昕,綠能環保
922,8442,威宏-KY,其他業
923,8443,阿瘦,貿易百貨業
924,8454,富邦媒,數位雲端
925,8462,柏文,運動休閒
926,8463,潤泰材,其他業
927,8464,億豐,居家生活
928,8466,美吉吉-KY,其他業
929,8467,波力-KY,運動休閒
930,8473,山林水,綠能環保
931,8478,東哥遊艇,運動休閒
932,8481,政伸,其他業
933,8482,商億-KY,居家生活
934,8488,吉源-KY,其他業
935,8499,鼎炫-KY,其他電子業
936,8926,台汽電,油電燃氣業
937,8940,新天地,觀光餐旅
938,8996,高力,電機機械
939,9802,鈺齊-KY,運動休閒
940,9902,台火,其他業
941,9904,寶成,運動休閒
942,9905,大華,其他業
943,9906,欣巴巴,建材營造業
944,9907,統一實,其他業
945,9908,大台北,油電燃氣業
946,9910,豐泰,運動休閒
947,9911,櫻花,居家生活
948,9912,偉聯,電腦及週邊設備業
949,9914,美利達,運動休閒
950,9917,中保科,其他業
951,9918,欣天然,油電燃氣業
952,9919,康那香,其他業
953,9921,巨大,運動休閒
954,9924,福興,居家生活
955,9925,新保,其他業
956,9926,新海,油電燃氣業
957,9927,泰銘,其他業
958,9928,中視,其他業
959,9929,秋雨,其他業
960,9930,中聯資源,綠能環保
961,9931,欣高,油電燃氣業
962,9933,中鼎,其他業
963,9934,成霖,居家生活
964,9935,慶豐富,居家生活
965,9937,全國,油電燃氣業
966,9938,百和,其他業
967,9939,宏全,其他業
968,9940,信義,其他業
969,9941,裕融,其他業
970,9942,茂順,其他業
971,9943,好樂迪,觀光餐旅
972,9944,新麗,其他業
973,9945,潤泰新,其他業
974,9946,三發地產,建材營造業
975,9955,佳龍,綠能環保
976,9958,世紀鋼,鋼鐵工業
977,2432,倚天酷碁-創,電腦及週邊設備業
978,6757,台灣虎航-創,航運業
979,6854,錼創科技-KY創,半導體業
980,6869,雲豹能源-創,綠能環保
981,6873,泓德能源-創,綠能環保
982,6902,走著瞧-創,數位雲端
983,0050,元大台灣50,
984,0051,元大中型100,
985,0052,富邦科技,
986,0053,元大電子,
987,0055,元大MSCI金融,
988,0056,元大高股息,
989,0057,富邦摩台,
990,0061,元大寶滬深,
991,9103,美德醫療-DR,
992,9105,泰金寶-DR,
993,9110,越南控-DR,
994,9136,巨騰-DR,
